URL,Brand,Template
https://rouxbeauty.com/hair-care/weightless-oils/restorative-hair-masque/,Roux Beauty,Product Detail
https://rouxbeauty.com/hair-care/weightless-oils/softening-conditioner/,Roux Beauty,Product Detail
https://rouxbeauty.com/hair-color/,Roux Beauty,Product Collection
https://rouxbeauty.com/hair-color/clean-touch-stain-remover/,Roux Beauty,Product Detail
https://rouxbeauty.com/hair-color/fanci-full-rinse/,Roux Beauty,Product Detail
https://rouxbeauty.com/hair-color/tween-time/,Roux Beauty,Product Detail
https://rouxbeauty.com/hair-coloring/,Roux Beauty,Product Collection
https://rouxbeauty.com/indulge-your-hair-with-rouxs-new-weightless-precious-oils-collection/,Roux Beauty,Blog Article
https://rouxbeauty.com/privacy/,Roux Beauty,Legal/Policy
https://rouxbeauty.com/roux-tween-time-issuing-challenge-show-us-roots-america/,Roux Beauty,Blog Article
https://rouxbeauty.com/saves/,Roux Beauty,Landing/Promo
https://rouxbeauty.com/specials/april/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/specials/august/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/specials/december/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/specials/february/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/specials/january/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/specials/july/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/specials/june/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/specials/march/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/specials/may/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/specials/november/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/specials/october/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/specials/september/,Roux Beauty,Monthly Specials
https://rouxbeauty.com/stores/,Roux Beauty,Where to Buy
https://rouxbeauty.com/terms/,Roux Beauty,Legal/Policy
https://rouxbeauty.com/top-sellers/,Roux Beauty,Product Collection
https://rouxbeauty.com/weightless-precious-oils/,Roux Beauty,Product Line Landing
https://www.cutex.com/,Cutex,Homepage
https://www.cutex.com/about-us/,Cutex,About
https://www.cutex.com/contact-us/,Cutex,Contact
https://www.cutex.com/cutex,Cutex,Landing/Promo
https://www.cutex.com/dsar/,Cutex,Legal/Policy
https://www.cutex.com/privacy-policy/,Cutex,Legal/Policy
